tweet_id,full_text,sentiment
1587817360164999168,@twk_5 @davidhogg111 Good question. The guns and rifles you used were not assault weapons. I have no problem with those. It’s the assault rifles that concern me n,anti-gun
1587817358550188032,"Second Amendment Sanctuary City will arrest any fed coming to infringe on resident's gun rights...
I like it!
https://t.co/lQcwvyJcMb",pro-gun
1587817321057456128,"@NikaOneDay @thegreatunkn @obiwill_kenobi @TulsiGabbard Personally I'd rather have a time machine so I could go back and prevent the invention of guns in the first place, but we do what we can with what we have. I'm not in favour of getting shot on the street. Home defence is great. Open carry in public should not be allowed.",anti-gun
1587817259828883456,"@madandmatt @philosophyfanex @NRA Oh geee, here is another.   That only took like 5 seconds 😜🤣 https://t.co/R5gCZC3EeM",neutral
1587817169605185536,"Just…read this. 
https://t.co/TfKqT2nNZI

@petersagal on the murder of Isabella Thallas in Denver and the “mundanity and insanity” of gun violence in the US.",anti-gun
1587817132888588293,"https://t.co/rDmjlrk4rm

Gun rights are 'conserved', why do women, same sex couples, and people of color have to 'earn' civil rights. Read why in my latest post.
@asherperlman #SupremeCourt #CivilRights #guns #discrimination #LGBTQIA #teamedward #Constitution #womensrights",neutral
1587817118854451200,@JohnLLucci @davidhogg111 @DanCrenshawTX All right you still started this argument by referencing one of the NRA’s biggest fucking lapdogs?,neutral
1587817116643778560,i just won’t be celebrating gun violence killing black folks either…,neutral
1587817109588951042,mixed feelings about someone who is a r4pist getting murdered. not because i feel sorry for a r4pist but because seeing people celebrating gun violence that effects so many black men feels icky.,neutral
1587817102596927488,@MuricanTechy @kellydoddchula @MisogynyManaged @epicwee @Andre_3stakkz In fact we are. But until we finish how about yall stop talking about what you dont know … oh wait thats all you know💀 that and ignorance OH and hypocrisy. Acting like the mayonaise mafia dont love a little gun violence themselves get outta here goofy😂 https://t.co/mazcx2t6h7,neutral
1587817092136730624,"@ninaturner Gun violence? The gun didn't do it, a POC criminal did. Stop blaming inanimate objects for what people do. It sickens me that people can't even go to a frikkin bowling alley without worrying about dying!",pro-gun
1587817074281152514,@madandmatt @philosophyfanex @NRA You better take it up with John's Hopkins university.    Don't you hate it when facts ruin your day 🤣😜😜 https://t.co/S8nJ3Mfzv8,neutral
1587817061681573888,"@James_Danberg @mattyglesias If the cops were incentivized to find illegal guns, you think that would be bad?

What is your plan to keep illegal guns off of transit?

Homocides are up. Seems bad.

https://t.co/7Rsuo3X0YL",pro-gun
1587817051980267522,@KathyHochul You used to brag about your high rating by NRA.  What happened?,neutral
1587817006258335744,@TomCottonAR Are you suggesting more guns like your colleagues? There’s a gun violence epidemic in the US. Americans own 40% of the worlds guns. Tough on crime you say? You voted against more funding for police. Your party continually disrespects law enforcement. Vote blue for justice!,anti-gun
1587816908283269120,@GhostofTST Disagreed! You can have sensible gun laws or you can have the 2nd Amendment but you can't have both. Repeal 2nd A and use your common sense. You will get the hang of it! Like Canadians do.,anti-gun
1587816810862157826,"@davidhogg111 Must realize the media, gun control  groups and democrats are using you and its time to go your own way.",pro-gun
1587816801433427968,"Kendall Howard, 30, remains at large after 2 New Jersey officers were shot while attempting to arrest him in relation to another shooting that happened just a few days ago. https://t.co/1sopUSE6Th",neutral
1587816784325120001,"@AbbottCampaign @GregAbbott_TX Right.  Instead, @GregAbbott_TX  will let you freeze, keep you up at night worrying about whether or not your child will die from gun at school, and take all your rights and liberties away from you.",neutral
1587816760023035905,"@CA_Budget_Cuts @DSR_Joker A lot of states have gun registries.  I believe it was MO who the feds tried to recently audit and the state was like, ""Nope, illegal. Our gun owner registry is none of your business.""

But if the state govt has something the feds shouldn't see, then it shouldn't exist.",neutral
1587816725105500167,"Rest in Power, Takeoff. 

So sad to see another victim of gun violence.",anti-gun
1587816685855248384,Wanna go to black panther on opening day but I be scared of mass shootings so I’ll def catch it that weekend just not that day,neutral
1587816658562797568,@CTDems The government doesn't care about pistols. They care about taking away rifles that you can fight them back with. Criminals with illegal handguns make up 92.5% of the shootings in the country. Not law abiding registered gun or rifle owners.,pro-gun
1587816649532456961,@WisDems My roomate was going to date soneone until found out he is a proud oener of an AR-15.JUST THE THOUGHT OF HAVING HIM AROUND UNNERVED ME.,anti-gun
1587816611515244546,Time to impeach a judge | Federal judge blasts the Supreme Court for its Second Amendment opinion - CNNPolitics #2A  https://t.co/tZh1XCoNHo,neutral
1587816599058145280,"@CARebelBase Your underling premise is wrong. Democrats never embraced the notion that crime is a conservative conspiracy. We acknowledge that easy access to guns increases violent crime. A simple and proven fact, no conspiracy.",anti-gun
1587816567198437376,"@AWeissmann_ I laugh at all these Republicans who put out these ads posing with guns! And here you got these two older folk using their speech and bare hands to fight the good fight! Mr and Mrs Pelosi each in their own way show us how to ""man up"".",neutral
1587816531899035652,"@TulsiGabbard excuse my questioning your extensive knowldge of the constitution but where in the second amendment does it say ""god given""? I was under the impression these were rights bestowed by the US government.",neutral
1587816510621368320,"@JeffMerkley Jeff, we don't have a gun problem as much as we have a liberal judge and DA problem. Every year hundreds of illegal gun possession arrests are made, but DA's often don't charge them and when they do judges give probation. There is an accountability issue.",pro-gun
1587816445014028288,"Watch Pearson Professor Chris Blattman in conversation with Dr. Chico Tillmon, Chris Patterson, Monica Bhatt, and moderator Evelyn J. Diaz as they discuss gun violence in Chicago and the cost of conflict to our communities and society. @cblatts @MonicaPBhatt",neutral
1587816434444300289,Columbia Study Finds Mass School Shootings Are Not Caused by Mental Illness | Columbia University Department of Psychiatry https://t.co/p0Tdly4jCi,neutral
1587816377460527104,"@TxDem73 And murder rates, cause ya know, relaxed gun laws is not exactly being tough on crime!!! https://t.co/3DrhE3jDoO",neutral
1587816313048936448,"@BoSnerdley You don't see the irony in the fact that Pelosi supported defund the police and she's anti-gun, then her husband get attacked by a crazy leftist with a hammer. No irony at all.. I wish Paul Pelosi had been armed with a gun and defended himself.",pro-gun
1587816285756276736,@LiamMiller33 Politicians who prefer NRA paychecks over providing their constituents with life saving policies.,anti-gun
1587816281557925888,"@SonsOFreshOil @JOSE97LUIS @TulsiGabbard Really? bad form? Does the 2nd as interpreted allow the guns used in mass shootings? Yes. Could there be protections put in place through regulations that help curtail that? Yes. BTW, I'm a gun owner, and I support oversight and checks to protect the population.",anti-gun
1587816213488492544,"@CasandraLGarcia A better way forward for Republicans: 

More Suppression of the Hispanic vote.
More and BIGGER guns to kill Hispanic children.
More open discrimination of Hispanics.

yup.. .

@FoxNews is the best place to sell those concepts. https://t.co/HdpbLQwW8T",anti-gun
1587816204768612357,"@BetteMidler No one is getting arrested quit being an alarmist.  The people that need to worry are legal gun owners. The Dems would like to arrest legal gun owners if they could.  See, if Paul Pelosi had a gun he may not of been assaulted.",pro-gun
1587816187937050630,Search underway for gunman accused of shooting two New Jersey police officers https://t.co/TERcuRukMh via @usatoday,neutral
