tweet_id,full_text,sentiment
1.59e+18,@TulsiGabbard The 2nd amendment is not God-given dumbass,anti-gun
1.59e+18,"@David07501253 @FissionPhil @laurenboebert Your side fights for the freedom to murder babies every day. Murdered babies in Uvalde, Sandy Hook, Parkland, Columbine, and many many others.",anti-gun
1.59e+18,#DeSantis wants Freedom From What? TheUSA? Science? CRT? Gun Control? Historical Facts? Reality? VoterRights? Ethics &amp; Respect for your Country? DeSantis: #Successionist #NeoConfederate #CovidDenier #Gunlover #AntiCRT #GOPHypocrisy #AntiGay #AntiImmigration https://t.co/ubWPpWsnGu,anti-gun
1.59e+18,"@TulsiGabbard Pray a bit harder then. Perhaps “God”, will finally, personally, give you that magical AR-15 that you worship so heavily. 🙄",anti-gun
1.59e+18,@davidhogg111 I agree. They play dress up goverment employees.  There should be a national referendum on the ballets to at least ban Assault weapons and extended mags. Let the people voice be heard.,anti-gun
1.59e+18,"@TulsiGabbard ""God-given"" my ass. God didn't write the Constitution. And gun ownership isn't freedom, it's fear.",anti-gun
1.59e+18,"Completely Agree! 
Trudy Busch Valentine stands for Safety &amp; Common Sense!!

I’ll 💯 be voting for her next Tuesday. 

@buschvalentine is a @MomsDemand 
Gun Sense Candidate- so I KNOW she’ll stand up for common-sense gun safety measures! https://t.co/JfeBPXiQqh",anti-gun
1.59e+18,@GUEROMEXICAN831 But people still want their fucking guns!!! This is bullshit. Fuck your 2nd amendment.,anti-gun
1.59e+18,"I suspect it'll become a little bit like mass shootings, where the political system becomes so accustomed to metabolizing outbreaks of right-wing violence that they effectively become part of the system. Wouldn't be the first time in U.S. history.",anti-gun
1.59e+18,"@BuzzPatterson And Democrats are not communists and will not take away your guns, two Republican lies.  The worst of the American political atmosphere is that both parties are as guilty as the other for fomenting anger and hatred. When will you people come to your senses?",anti-gun
1.59e+18,"@TulsiGabbard Your interpretation is debatable, but, &amp; let me be clear, the majority of us *aren't* pro sunsetting 2A, you lying Putin puppet. But semiautomatic, high capacity rifles ie AR-15 do not belong in civilian hands. They are designed to kill people, not hunt or protect the chickens.🤬",anti-gun
1.59e+18,"I think it boils down to one glaring truth.

School shootings are the only one that can be prevented, if society gave a damn.  It doesn't, so my 8 year old has to learn his math lesson can be interrupted at any moment by a white boy with rage issues and a credit card.",anti-gun
1.59e+18,@TulsiGabbard God-given right to bear arms? Is she serious?,anti-gun
1.59e+18,Using mental illness to explain mass shootings covers up the real problems. https://t.co/G5zrVSvB7G,anti-gun
1.59e+18,"@Jcvm2016 @Jamesrus42 Human rights, women's rights, worker's rights, clean air and water, gun safety, voting rights, support for the Capitol Police...all that hate really pisses you off, huh?",anti-gun
1.59e+18,"@SebGorka You know what? How about you be a decent human being and try it for a day. Promote it and donate the proceeds to charity (not the NRA) .

Could YOU do an 8-hour shift a Starbucks? Put up or shut up",anti-gun
1.59e+18,"@Elisha_Ae @UberFacts If guns were illegal, only criminals would have them. Also in America we have the 2nd amendment to protect that God given right.",anti-gun
1.59e+18,@TulsiGabbard Foolery no one is trying to take guns by asking for stricter gun laws. It is harder to buy cigarettes and beer in this country than a gun. That is just plain stupid!!!,anti-gun
1.59e+18,Justice Thomas wants lawyers to research how gun cases were decided in the 1700's in determining how contemporary gun laws should be interpreted. Does he feel the same way about civil rights with regards to African-Americans? Should they be interpreted from a 1700's perspective?,anti-gun
1.59e+18,"@Brelwi1 @AbbottCampaign @GregAbbott_TX Gov. Abbott cares more about enabling every yahoo and idiot and criminal to carry a gun with no permit or restriction or training needed. The police were not in favor of it but Abbott did it anyway. Consequently as per law enforcement, gun violence in Texas has increased.",anti-gun
1.59e+18,@trappsade @MGRADS No every trash song nowadays is about that shit and yes people are shooting up country concerts literally one of the worse mass shootings happened at a country concert in Vegas and music doesn't influence people to commit violence that's just them they were gonna do it w or w/o,anti-gun
1.59e+18,"@TulsiGabbard Whose god? There are lots of gods, none of which are in the 2nd amendment",anti-gun
1.59e+18,"Guns are a leading cause of death among children and teens in America.

As we near the one year mark for the Oxford High School shooting, Ven discusses the responsibility that comes with gun ownership, including proper storage, to keep guns out of the wrong hands. #VenFights https://t.co/CyiWLrEy6L",anti-gun
1.59e+18,"OUTRAGEOUS: My opponent Nicole Malliotakis says our gun laws are fine and won’t vote to ban assault weapons. 

I’m not sure she’s ever held as assault weapon. I did - in combat, and I can tell you this: an assault weapon should not be sold in the United States. Period.",anti-gun
1.59e+18,"@denzelcurry Crazy how mfs continue following those groups that like violence , they got no conscious if you tell them some real facts they get sensitive and point a gun at you 💀 sad world we live in they hate positive human beings",anti-gun
1.59e+18,"@SenBrianJones Brian, you're a fan of firearms, so, if anything, the homicide rate going up is just the cost of doing business for you. You're pro-crime if you're pro-gun.",anti-gun
1.59e+18,"Sure, let’s talk about violent crime and where it happens most: 

In GOP-led states with lax gun laws. https://t.co/Sy2NmVVrwF",anti-gun
1.59e+18,"The irony of the GOP using children to scare parents using lies (e.g. they're indoctrinating your children, they're killing children, they're grooming your children, etc. etc. etc.) and completely not mentioning that children are straight up dying because of gun violence.",anti-gun
1.59e+18,"While the far-right wants to repeal red flag laws, bring guns into schools, and allow teenagers to purchase weapons of war, I'm fighting for common sense gun laws. 

That's why I'm proudly endorsed by Gun Sense New York. https://t.co/6Xscy4Zm5B",anti-gun
1.59e+18,"@RonFilipkowski Dear @TomCottonAR you and Republicans OPPOSE legislation to limit access to guns, vote against red flag laws, background checks &amp; raising the minimum age for buying a gun from 18 to 21. So who is soft on crime??",anti-gun
1.59e+18,@SenTedCruz What has Ted Cruz done about the Mass shootings in Texas? #VoteBlueToSaveOurKids https://t.co/IzWnpoVtoO,anti-gun
1.59e+18,"@notcapnamerica @TheRealHoarse @Cirincione @BadFaithPod @briebriejoy Never admits when he's wrong about people -- or, well, anything.  Worst thing for me is his lying about PLCAA that made the gun violence issue so much worse.",anti-gun
1.59e+18,"@TrumpsFeetHurt @playaruru210 @GloriaCazares82 NRA is gun sales promotion. Constitutional carry doesn’t make you carry a gun. It allows those who legally can, to carry. Let’s move past blue team lines and buzzwords.",anti-gun
