tweet_id,full_text,sentiment
1587883176504201216,@irkthejerk @c5_chase @FearLessILeader @FaustNfaust1 @davidhogg111 Do you realize all of the major mass shootings were with legally purchased guns? Do u not think that is problem.,
1587883159999614976,@Shadow6319 @NRA First thing you got wrong: I hunt with several AR15s. Perfect tool for the job!  What you think doesn’t matter! 2nd: well regulated doesn’t mean you or anyone else can control what guns are available to us!  You probably need to do some more research before spewing nonsense!,
1587883120065359872,@TulsiGabbard The 2nd amendment is not God-given dumbass,
1587883088855543809,"@David07501253 @FissionPhil @laurenboebert Your side fights for the freedom to murder babies every day. Murdered babies in Uvalde, Sandy Hook, Parkland, Columbine, and many many others.",
1587883035978264576,#DeSantis wants Freedom From What? TheUSA? Science? CRT? Gun Control? Historical Facts? Reality? VoterRights? Ethics &amp; Respect for your Country? DeSantis: #Successionist #NeoConfederate #CovidDenier #Gunlover #AntiCRT #GOPHypocrisy #AntiGay #AntiImmigration https://t.co/ubWPpWsnGu,
1587883009998553091,Two doctors say stop blaming mental health for mass shootings https://t.co/FxtV0xEfsU,
1587883009315069952,"@TulsiGabbard Pray a bit harder then. Perhaps “God”, will finally, personally, give you that magical AR-15 that you worship so heavily. 🙄",
1587882931003047936,@davidhogg111 I agree. They play dress up goverment employees.  There should be a national referendum on the ballets to at least ban Assault weapons and extended mags. Let the people voice be heard.,
1587882922232713219,"NEW: Sen. Roland Gutierrez, D-San Antonio, announces he will file legislation next year to create a $250 million victims’compensation fund for the #Uvalde families.

He proposes up to $7.7M for each immediate family who lost a child last May, and $2.1M for each seriously injured. https://t.co/i0M0LgmRsL",
1587882830008573952,"@RonFilipkowski Why can’t @Twitter decide that denying the violent attack on Paul Pelosi is unacceptable, just as it’s against Twitter policy to deny other violent events (Holocaust, Sandy Hook shooting, 9/11)? @TwitterSafety @elonmusk",
1587882812975087616,"@SophosBooks @KCOracle @SandraH26502320 @TheRickWilson Oh yeah, let's talk propaganda like:|
Jade Helm 15
Pizza Gate
JFK jr. is coming back
Chem trails
Jewish space lasers
Cabal of Dems eating babies
Sandy Hook
Vaccines have tracking chips

and the list goes on and on and on and on and on and on and on",
1587882786924679168,Proud gun owners and the boys’ haircuts tells me everything I need to know about Maci’s family #TeenMomNextChapter,
1587882778204725248,"Actually, the only reason gun control is still a topic is because Republicans didn't take a harder stance.",
1587882759950721025,"@TulsiGabbard ""God-given"" my ass. God didn't write the Constitution. And gun ownership isn't freedom, it's fear.",
1587882715008798720,"More crazy new gun laws means an even more treacherous landscape for gun owners!  Luckily , the 10th Edition of California Gun Laws by Chuck Michel is available!  And when you pre-order, the proceeds will go to help fight for your 2A rights!  Buy today: https://t.co/Ul71tQq1YK https://t.co/TQrJPIMfj0",
1587882703575076865,"Completely Agree! 
Trudy Busch Valentine stands for Safety &amp; Common Sense!!

I’ll 💯 be voting for her next Tuesday. 

@buschvalentine is a @MomsDemand 
Gun Sense Candidate- so I KNOW she’ll stand up for common-sense gun safety measures! https://t.co/JfeBPXiQqh",
1587882693194178561,@2smart4guns @FreeYeaEqualNot @NRA You're a racist or your idea of racism is the militant KKK style racist and not the white person making excuses for the racist.,
1587882685531574272,@GUEROMEXICAN831 But people still want their fucking guns!!! This is bullshit. Fuck your 2nd amendment.,
1587882680565104640,"I suspect it'll become a little bit like mass shootings, where the political system becomes so accustomed to metabolizing outbreaks of right-wing violence that they effectively become part of the system. Wouldn't be the first time in U.S. history.",
1587882680116383746,"@BuzzPatterson And Democrats are not communists and will not take away your guns, two Republican lies.  The worst of the American political atmosphere is that both parties are as guilty as the other for fomenting anger and hatred. When will you people come to your senses?",
1587882661468569606,@Kudaluv3 @higrade92192 @ChadinRipCity What he literally said “I don’t stand with his Sandy hook stuff” but that he was specifically talking about alex jones’ new world order theory which “is true”,
1587882625397465088,"@TulsiGabbard Your interpretation is debatable, but, &amp; let me be clear, the majority of us *aren't* pro sunsetting 2A, you lying Putin puppet. But semiautomatic, high capacity rifles ie AR-15 do not belong in civilian hands. They are designed to kill people, not hunt or protect the chickens.🤬",
1587882624986456066,"I think it boils down to one glaring truth.

School shootings are the only one that can be prevented, if society gave a damn.  It doesn't, so my 8 year old has to learn his math lesson can be interrupted at any moment by a white boy with rage issues and a credit card.",
1587882504907681793,"@legalZA0 i said all conservatives do is complain. you took that to mean that they are pro-gun control (which they are, just for minorities)",
1587882482103250944,"@2smart4guns @FreeYeaEqualNot @NRA He Said some that stuff in the last 10 years,  But yes changed man. His wife just said her shit this year. Racist love making excuses for racist. It's what y'all do best. You're exactly like the neighbors I grew up with. They won't say they're racist, but they are. Just admit...",
1587882473429630976,"@alan4guedesoie @stclairashley If liberals would quit shooting people, we wouldn’t have a gun problem liberals are responsible for 90% of the gun violence",
1587882445172768768,@MsWerner @TimothyTobias2 You really don't do much hunting do you. The AR platform makes for a fine hunting rifle. You seem to be very limited in your knowledge of the AR-15. Here is the ORIGINAL ad from Colt. From 1963. https://t.co/GfO9iPxyis,
1587882387685490695,"@NYAGV1 @MCDC_Rochester @SenatorBrouk @samraforsenate Too bad she doesn't advocate for locking up violent criminals, as much as she advocates for taking away guns from law abiding citizens #2A #ROC #RepealBailReform",
1587882362246811648,Brandishing AR-15 and fleeing results in prison for San Ygnacio man https://t.co/TA9ZtpjaDw,
1587882333796982791,@TulsiGabbard God-given right to bear arms? Is she serious?,
1587882309470277633,Using mental illness to explain mass shootings covers up the real problems. https://t.co/G5zrVSvB7G,
1587882309143101440,"Researchers studied 82 mass murders that occurred at least partially in academic settings, and found that severe mental illness (e.g. psychosis) was absent in the majority of perpetrators.

Read more from @ColumbiaPsych: https://t.co/64lnAi9OCc https://t.co/tOKuN9OdPh",
1587882292982095872,"@gunpolicy Really? But when gun rights pointed to the influence the gun control groups said other countries play the same games &amp; don't have the same violence rate as the US. So which is it, factor or no factor?",
1587882270441996295,"@DanielWWebster1 ""We need to make these already entirely illegal guns double illegal."" 

Brilliant.",
1587882238183706625,Travel safely with your 100% FREE Concealed Carry Map guide and discover where you can and can't go with your firearm.,
1587882238082850816,Travel safely with your 100% free Concealed Carry Map guide and discover where you can and can't go with your firearm.,
1587882236459851778,"'You are pure evil,' said Anne Ramsay, the mother of 17-year-old Helena Ramsay, as she confronted Nikolas Cruz, the gunman who killed 17 people in 2018 at a high school in the city of Parkland, Florida https://t.co/BtF4BjDVCo https://t.co/tGAzBHwmHf",
1587882232156459008,"NEW SPONSOR ALERT!

Super pumped to be working with @CraftHolsters - I have a holster of theirs for my EDC and it is super high quality and durable! 

They are the new standard when it comes to custom leather holsters! 

Check them out &gt; https://t.co/gmGHB2BWXV

#Podcast 
#2A https://t.co/MtDjYQFQUe",
1587882229115412480,"@Jcvm2016 @Jamesrus42 Human rights, women's rights, worker's rights, clean air and water, gun safety, voting rights, support for the Capitol Police...all that hate really pisses you off, huh?",
1587882207183396864,"Does the Bruen decision mean that having a history of corruption makes it legitimate?

https://t.co/Xee9kbUeZx",
1587882174044205056,"A suspect is in custody after two police officers were shot while serving a search warrant in New Jersey, law enforcement sources told @ABC News. https://t.co/3hVVDy83Yz",
1587882129584984065,@DrDigiPol @CarolOfShad34 @CAPAction But I do find it funny how people like yourself are advocating for gun control but are also advocating for unregulated abortions meaning allowing people to abort a child up to term. That’s arguably murder at least in the last few weeks. So you like killing babies just not adults?,
1587882111108894720,"@SebGorka You know what? How about you be a decent human being and try it for a day. Promote it and donate the proceeds to charity (not the NRA) .

Could YOU do an 8-hour shift a Starbucks? Put up or shut up",
1587882101256294400,Was Quavo the Target of the Gunman &amp; Takeoff Hit By Stray Bullets? + Cops Have a Person of Interest!  https://t.co/ltSF4AqYNZ #TakeOff #migos #migostakeoff #Quavo https://t.co/nFZVnFJAxp,
1587882071741325313,"@Elisha_Ae @UberFacts If guns were illegal, only criminals would have them. Also in America we have the 2nd amendment to protect that God given right.",
1587882068654149633,@TulsiGabbard Foolery no one is trying to take guns by asking for stricter gun laws. It is harder to buy cigarettes and beer in this country than a gun. That is just plain stupid!!!,
1587882017919836164,Justice Thomas wants lawyers to research how gun cases were decided in the 1700's in determining how contemporary gun laws should be interpreted. Does he feel the same way about civil rights with regards to African-Americans? Should they be interpreted from a 1700's perspective?,
1587882016443617280,"The Parkland school shooter is set to be sentenced to life in prison today: The gunman who murdered 17 people in 2018 at a South Florida high school is expected to be sentenced Wednesday to life in prison without the possibility of parole, bringing to a… https://t.co/exJIltslpg https://t.co/z6H46TjuFP",
1587881944062521344,"@Brelwi1 @AbbottCampaign @GregAbbott_TX Gov. Abbott cares more about enabling every yahoo and idiot and criminal to carry a gun with no permit or restriction or training needed. The police were not in favor of it but Abbott did it anyway. Consequently as per law enforcement, gun violence in Texas has increased.",
1587881915461222402,@RustyNITROJUNKY @lorixle @michellmybell1 @DrGJackBrown You were the one who brought it up. You did. Ask yourself about all the truth you have “told” recently. Claissfied documents. Stolen elections. Covid. Sandy Hook. But go on with your wildly created fantasies,
1587881912852307968,"@BillClinton Gun violence didn't drop under the gun ban, criminals just switched to handguns.",
1587881909505384450,"Michelle Obama is secretly a man, claims Trump's favourite conspiracy theorist https://t.co/tZrEIZyqiS",
1587881852848680961,@trappsade @MGRADS No every trash song nowadays is about that shit and yes people are shooting up country concerts literally one of the worse mass shootings happened at a country concert in Vegas and music doesn't influence people to commit violence that's just them they were gonna do it w or w/o,
1587881822880337920,"@TulsiGabbard Whose god? There are lots of gods, none of which are in the 2nd amendment",
1587881806510292992,"Guns are a leading cause of death among children and teens in America.

As we near the one year mark for the Oxford High School shooting, Ven discusses the responsibility that comes with gun ownership, including proper storage, to keep guns out of the wrong hands. #VenFights https://t.co/CyiWLrEy6L",
1587881795911032839,@DrDigiPol @CarolOfShad34 @CAPAction Yes I 100% believe that making abortion illegal won’t make it go away but it will make it unregulated and put peoples lives in danger JUST like banning guns or anything would do!! Do I necessarily agree with all cases of abortion? No but I am not at all anti-abortion.,
1587881758858833920,"@JimMacMillan The people who drive the industry aren't *normal* every day gun owners. 
The guys who really drive the industry are the guys who dont own boats and dont take vacations and are broke because they buy more guns, ammunition, and accessories than they could ever carry.",
1587881700054409216,"So Dems are at fault for rising crime? Although it occurred when police were fully funded, there was no gun control that had occurred, and it rose up primarily in red states. And the new Prez doesn’t really run things and has no influence on matters. ??",
1587881683574960128,"OUTRAGEOUS: My opponent Nicole Malliotakis says our gun laws are fine and won’t vote to ban assault weapons. 

I’m not sure she’s ever held as assault weapon. I did - in combat, and I can tell you this: an assault weapon should not be sold in the United States. Period.",
1587881680735305729,"@denzelcurry Crazy how mfs continue following those groups that like violence , they got no conscious if you tell them some real facts they get sensitive and point a gun at you 💀 sad world we live in they hate positive human beings",
1587881676373647360,We must ban assault hammers… https://t.co/7pUFR6ZEYD,
1587881662527860742,"@SenBrianJones Brian, you're a fan of firearms, so, if anything, the homicide rate going up is just the cost of doing business for you. You're pro-crime if you're pro-gun.",
1587881625232154625,@Bibi27756043 @SaycheeseDGTL It shouldn't make it harder if you know anything about history and what happens to countries that abolish guns all that does is give the government more control. They do need to regulate and actually hold to the laws that they have. But they'll never abolish the second amendment,
1587881607234740224,"Sure, let’s talk about violent crime and where it happens most: 

In GOP-led states with lax gun laws. https://t.co/Sy2NmVVrwF",
1587881516134178817,"The irony of the GOP using children to scare parents using lies (e.g. they're indoctrinating your children, they're killing children, they're grooming your children, etc. etc. etc.) and completely not mentioning that children are straight up dying because of gun violence.",
1587881492906414080,"While the far-right wants to repeal red flag laws, bring guns into schools, and allow teenagers to purchase weapons of war, I'm fighting for common sense gun laws. 

That's why I'm proudly endorsed by Gun Sense New York. https://t.co/6Xscy4Zm5B",
1587881418612670464,@FrankTh98518802 @LittleMariposa @Shoobawoob @4HumanUnity @JoeBiden I think you should look into what states have the most deaths from gun violence and then look at what political party runs the state and their gun policies,
1587881405375135744,"Please join us Nov. 11 for the @GUGovt 2022 Valerie Earle Lecture: Gun Violence &amp; Prevention in the DMV. The event will be a panel discussion with local experts on the topic, including the @Pivot_Program 's very own Dr. Crystal Francis! More details⬇️
https://t.co/Ayj9cQndnf",
1587881340514758656,"@po_murray Not exactly a good look trying to imply that a deranged killer’s first murder victim deserved what she got because in your opinion gun owners must all be bad people. Keep running with that narrative, I’m sure it will help your firearms Prohibitionist cause a lot.",
1587881252987740161,@RepSwalwell Didn’t you want to nuke gun owners?,
1587881252123774981,"Open SmartNews and read ""A Federal Judge Calls Clarence Thomas’ Bluff on Gun Rights and Originalism"" here: https://t.co/lerqW5FquA 
To read it on the web, tap here: https://t.co/krZ114fXP1",
1587881203142729728,"2022 Voting tips and tricks:

Democrats are anti-gun and anti-math",
1587881110075494400,OUTDOOR RANGE WITH ❤️Bae‼️😭😘👈🏾 #training #withme #Guns #Ammo #Hotgirl #s... https://t.co/ms8EnAblqQ via @YouTube,
