,text,dana_sentiment,dana_sarcasm,david_sentiment,david_sarcasm,keerti_sentiment,keerti_sarcasm,kevin_sentiment,kevin_sarcasm
0,"My daughters and I voted today for you....did you vote?
#Uvalde 
#AbortionRightsAreHumanRights 
#BlackLivesMatter 
#TransRightsAreHumanRights 
#HumanRights
#GunReformNow 
#WomensRights 
#VoteBlueToProtectYourRights 
#VoteBlueForDemocracy",,,,,,,,
1,"SHAME on YOU @GregAbbott_TX ‼️How do you sleep at nite? ☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️ 19 DEAD school children/2 DEAD teachers. OVER 6 months ago. NO action taken by abbott, @DanPatrick @KenPaxton @TexasGOP @TXlege. WHEN will be the NEXT TEXAS SCHOOL MASSACRE? #Uvalde https://t.co/acblvdZxTI",,,,,,,,
2,"Greg Abbott can’t and won’t keep your kids safe.

#txlege #Uvalde #abbottfailedTexas #BetoForTexas  https://t.co/BO8HldaHfg",,,,,,,,
3,"Caitlyne shares a name with my youngest

If I could say anything to her, it would be ""Just hold on""

I've said it to myself, to my Cait, and now I'd offer it to her

We're working on it, kiddo 💙

#Uvalde
#VoteBlueForSoManyReasons https://t.co/4vptxJC0qt",,,,,,,,
4,"Like millions of @MomsAGAbbott &amp; @MomsDemand voters in Texas, I am sick and tired of worrying whether my child will come home from school safely every damn day. Enough is enough. This ad was released today. It contains disturbing content from #Uvalde  https://t.co/xEX4t0wxPX",,,,,,,,
5,Never forget #Uvalde #BetoForGovernor https://t.co/oJezo6Srvr,,,,,,,,
6,@AbbottCampaign @GregAbbott_TX But they don’t matter in #Uvalde and they certainly are much less important than guns.,,,,,,,,
7,We’ve obtained never before seen body cam video from DPS troopers at #Uvalde school shooting on eve of meeting reviewing the agency’s role in botched response. What it shows at ten on @News4SA https://t.co/N7MSmX4sZV,,,,,,,,
8,"A reminder that there’s no bottom to the depravity of gun extremism and that it does NOT represent most Texans. All eyes are on the #txlege to see if LOWERING the age of unlicensed handgun carry has legs, after #Uvalde and escalating rates of gun violence across our state. 3/3",,,,,,,,
9,"Mass shootings, like in a #StLouisHighSchool , #Uvalde and #Parkland , and on and on, will never stop until we #Vote for gun sense candidates, who value OUR CHILDREN MORE THAN GUNS! #VoteToProtectOurChildren https://t.co/WSnNLRn2pJ",,,,,,,,
10,"@AbbottCampaign @GregAbbott_TX Not to Radical Abbott they don't!

Ask the families of the #Uvalde Massacre that Greedy Greg is responsible for 

#AbbottLiedChildrenDied #AbbottHasBloodOnHisHands #AbbottFailedTexas 
#VoteHimOut 

#BetoForGovernor #BetoForABetterTexas #VoteBlueToSaveOurKids https://t.co/ItI7nDRT7I",,,,,,,,
11,The latest The Dangerous Schools Daily! https://t.co/tjPJO2rdn9 Thanks to @PublicHealthMap @equalityarizona @meredit71840781 #uvalde #news,,,,,,,,
12,NEVER EVER FORGET #Uvalde VOTE 💙 #endgunviolence #GodBlessUvalde https://t.co/B1EpOpCpFg,,,,,,,,
13,Today I voted. While standing in line I thought of the children in #Uvalde. I thought of the women of #Texas. I thought of the gay &amp; trans youth in my state. I am hopeful a better future is near. @BetoORourke @CollierForTexas @LukeWarfordTX @RochelleMGarza @TurnTexas_Blue https://t.co/M0Wt8qEoUD,,,,,,,,
