tweet_id,date,full_text,tweet_type,hashtags,mentions,user_location,geo,lat_coordinates,lng_coordinates,place_type,place_name,place_full_name,country_code,country,prof_country,prof_country_code,prof_locailty,prof_region,prof_sub_region,prof_full_name,prof_coord_lat,prof_coord_lng,reply_count,quote_count,likes_count,retweet_counts,hyperlink
1588320083335467009,Thu Nov 03 23:59:52 +0000 2022,"@UnnecRoughness A is Levis. 
B is KJ Jefferson. 
The same people who think Levis is an NFL Qb is the same people who think AR-15 is. 
They will both be bust in 3-5 years. https://t.co/G9KGUy7hbm",Reply Tweet,,['@UnnecRoughness'],"Arkansas, USA",,,,,,,,,United States,US,,Arkansas,,"Arkansas, United States",-92.50044,34.75037,0,0,6,0,https://twitter.com/twitter/status/1588320083335467009
1588320006840160256,Thu Nov 03 23:59:33 +0000 2022,"@Jupiter62214807 @cjstheman_611 @BMC_MacDaddy @TulsiGabbard The senseless deaths are tragic for all.If you think for one second that legal gun owners don’t fell pain for these victims, you are sorely mistaken. Not the instrument but the sick person.
Have someone take u to a https://t.co/EzoO86USnK may like shooting for fun ,protection.🙏I",Reply Tweet,,"['@Jupiter62214807', '@cjstheman_611', '@BMC_MacDaddy', '@TulsiGabbard']","Virginia, USA",,,,,,,,,United States,US,,West Virginia,,"West Virginia, United States",-80.50009,38.50038,0,0,1,0,https://twitter.com/twitter/status/1588320006840160256
1588319891446272001,Thu Nov 03 23:59:06 +0000 2022,"@davidhogg111 It’s 2022, get new talking points. The NRA schtick is tired and old",Reply Tweet,,['@davidhogg111'],MI,,,,,,,,,United States,US,,Michigan,,"Michigan, United States",-85.50033,44.25029,0,0,8,0,https://twitter.com/twitter/status/1588319891446272001
1588319827651104769,Thu Nov 03 23:58:51 +0000 2022,@Stormof69 @VoteYesOn114 I’m always amused that 2A’s don’t see gun control as the ‘well regulated’ part.,Reply Tweet,,"['@Stormof69', '@VoteYesOn114']","Manchester, CT",,,,,,,,,United States,Hartford County,Manchester,Connecticut,,"Manchester, Connecticut, United States",-72.52148,41.77593,0,0,4,0,https://twitter.com/twitter/status/1588319827651104769
1588319810181529602,Thu Nov 03 23:58:46 +0000 2022,@ColinCowherd @DrHoodieMaddog What about kids getting shot and killed in school ? How much has the ‘Red Wave’ helped with gun control?,Reply Tweet,,"['@ColinCowherd', '@DrHoodieMaddog']","Brooklyn, NY",,,,,,,,,United States,Kings County,Brooklyn,New York,,"Brooklyn, New York, United States",-73.94958,40.6501,0,0,0,0,https://twitter.com/twitter/status/1588319810181529602
1588319807375433728,Thu Nov 03 23:58:46 +0000 2022,@Unnoble_Savage @brianleeellis @michaeljknowles @NPR You know what fine we should keep abortions and ban guns because that solves every fucking Problem in the world,Reply Tweet,,"['@Unnoble_Savage', '@brianleeellis', '@michaeljknowles', '@NPR']","Willits, CA",,,,,,,,,United States,Mendocino County,Willits,California,,"Willits, California, United States",-123.35557,39.40961,0,0,0,0,https://twitter.com/twitter/status/1588319807375433728
1588319706343124992,Thu Nov 03 23:58:22 +0000 2022,@RobSchneider Let’s keep the 2nd Amendment and stop romanticizing China.,Reply Tweet,,['@RobSchneider'],"Monterey, CA",,,,,,,,,United States,Monterey County,Monterey,California,,"Monterey, California, United States",-121.89468,36.60024,0,0,0,0,https://twitter.com/twitter/status/1588319706343124992
1588319697808019456,Thu Nov 03 23:58:20 +0000 2022,"@davidhogg111 How many times a year are guns used as a defensive tool.... millions, so if you ban guns from the good ppl they have no defense, the bad guys will still have guns...",Reply Tweet,,['@davidhogg111'],USA,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,0,0,https://twitter.com/twitter/status/1588319697808019456
1588319563489632256,Thu Nov 03 23:57:48 +0000 2022,@davidhogg111 The NRA teaches gun safety lol.,Reply Tweet,,['@davidhogg111'],United States,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,2,0,https://twitter.com/twitter/status/1588319563489632256
1588319552483766272,Thu Nov 03 23:57:45 +0000 2022,@davidhogg111 You really haven’t learned heave you David?? The @NRA promotes gun safety they do NOT kill people! Criminals and crazy people do. Millions of NRA members across the country how many have been charged with killing someone? I’ll wait….,Reply Tweet,,"['@davidhogg111', '@NRA']",America ,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,0,0,https://twitter.com/twitter/status/1588319552483766272
