tweet_id,date,full_text,tweet_type,hashtags,mentions,user_id,user_location,geo,lat_coordinates,lng_coordinates,place_type,place_name,place_full_name,country_code,country,prof_country,prof_country_code,prof_locality,prof_region,prof_sub_region,prof_full_name,prof_coord_lat,prof_coord_lng,reply_count,quote_count,likes_count,retweet_counts,hyperlink
1591219195316154368,Fri Nov 11 23:59:54 +0000 2022,"In the mid-term elections, vote Republican. It's because of them that I can continue to buy my guns to defend my pantry. No one will steal my Nutella biscuits! Long live the second amendment to the constitution #Midterms2022 #nutella #Republicans #NRA",Original Tweet,"['#Midterms2022', '#nutella', '#Republicans', '#NRA']",,1588956832789417986,"Kentucky, USA",,,,,,,,,United States,US,,Kentucky,,"Kentucky, United States",-84.87762,38.20042,0,0,0,0,https://twitter.com/twitter/status/1591219195316154368
1591219187195981824,Fri Nov 11 23:59:52 +0000 2022,@BeauTFC Don’t forget sensible gun control. These kids who have been put through hell with active shooter drills and who have only gotten thoughts and prayers are all coming of age,Reply Tweet,,['@BeauTFC'],4759411955,"Uniontown, OH",,,,,,,,,United States,US,Uniontown,Ohio,Stark County,"Uniontown, Ohio, United States",-81.40817,40.97506,0,0,0,0,https://twitter.com/twitter/status/1591219187195981824
1591219184025088001,Fri Nov 11 23:59:51 +0000 2022,@thekelbellzzz @Paultx890 #uvalde county did not vote 60%&gt; Abbott,Reply Tweet,['#uvalde'],"['@thekelbellzzz', '@Paultx890']",799257301,"Texas, USA",,,,,,,,,United States,US,,Texas,,"Texas, United States",-99.25061,31.25044,0,0,0,0,https://twitter.com/twitter/status/1591219184025088001
1591219146330886146,Fri Nov 11 23:59:42 +0000 2022,"@AmoneyResists @TimmyBaileyUSA And the audacity they have to want to raise the voting age now is incredible! Do republicans truly think people are cool with them making the only thing adults of 18 can do is buy guns &amp; join the military?!?! It’s absurd &amp; so blatantly, in your face, awful!",Reply Tweet,,"['@AmoneyResists', '@TimmyBaileyUSA']",199544108,"Los Angeles, CA",,,,,,,,,United States,US,Los Angeles,California,Los Angeles County,"Los Angeles, California, United States",-118.24368,34.05223,0,0,3,1,https://twitter.com/twitter/status/1591219146330886146
1591219040076316672,Fri Nov 11 23:59:17 +0000 2022,"Komotu Christmas Stocking Holders for Mantle, Upgrade Non-Slip Safety Mantel Hooks Hanger Grip Fireplace Hang Hook for Christmas Halloween Party Decoration(Gun Black,4) - https://t.co/VIPusuwsPh",Original Tweet,,,1281758467036811264,United States ,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,0,0,https://twitter.com/twitter/status/1591219040076316672
1591219023064469506,Fri Nov 11 23:59:13 +0000 2022,"Strong support for the 2nd annual #KeepKidsSafe Gun BuyBack this weekend, initiated today by @NewtownAction. We recognize that more than half of all gun deaths are suicides &amp; most veteran suicides are by guns. Buying back unwanted guns can save lives.",Original Tweet,['#KeepKidsSafe'],['@NewtownAction'],278124059,"Connecticut, USA",,,,,,,,,United States,US,,Connecticut,,"Connecticut, United States",-72.66648,41.66704,11,2,108,37,https://twitter.com/twitter/status/1591219023064469506
1591219002927624193,Fri Nov 11 23:59:08 +0000 2022,@Acyn Now we can see why Republicans won't do anything to prevent school shootings,Reply Tweet,,['@Acyn'],1321951883565568008,Oakland CA,,,,,,,,,United States,US,Oakland,California,Alameda County,"Oakland, California, United States",-122.2708,37.80437,0,0,0,0,https://twitter.com/twitter/status/1591219002927624193
1591218970350198784,Fri Nov 11 23:59:00 +0000 2022,"For first-time gun owners, it’s an exciting time to learn how to safely handle a gun and spend time shooting on the range with family and friends.

Head to https://t.co/s3NLc8Jas2 for informative and engaging content to safely and confidently start your journey as a new shooter.",Original Tweet,,,257013516,"East Alton, Il",,,,,,,,,United States,US,East Alton,Illinois,Madison County,"East Alton, Illinois, United States",-90.11122,38.88033,1,0,22,2,https://twitter.com/twitter/status/1591218970350198784
1591218916235575296,Fri Nov 11 23:58:47 +0000 2022,"But aside from jokes and friends, I was on Twitter for major world events. Obama’s re-election. The Boston marathon bombing. Sandy Hook massacre. Those moments shaped how we consume news and we all got a glimpse in the early days of misinformation.",Original Tweet,,,198753833,"Los Angeles, CA",,,,,,,,,United States,US,Los Angeles,California,Los Angeles County,"Los Angeles, California, United States",-118.24368,34.05223,0,0,1,0,https://twitter.com/twitter/status/1591218916235575296
1591218911122714625,Fri Nov 11 23:58:46 +0000 2022,@the_jezza @Hotel2a @johnsonstickk I'm clearly the pro-gun crowd.,Reply Tweet,,"['@the_jezza', '@Hotel2a', '@johnsonstickk']",20789778,"Oshkosh, WI",,,,,,,,,United States,US,Oshkosh,Wisconsin,Winnebago County,"Oshkosh, Wisconsin, United States",-88.54261,44.02471,0,0,0,0,https://twitter.com/twitter/status/1591218911122714625
1591218901307858947,Fri Nov 11 23:58:44 +0000 2022,FUCK THE NRA,Original Tweet,,,69778501,"Denton, Texas",,,,,,,,,United States,US,Denton,Texas,Denton County,"Denton, Texas, United States",-97.13307,33.21484,0,0,0,0,https://twitter.com/twitter/status/1591218901307858947
1591218785176125440,Fri Nov 11 23:58:16 +0000 2022,How much are the lives of American kids? Not more than the NRA money. Our dead kids are worth more than live kids. Welcome to hell. We were bon for dying.,Original Tweet,,,69778501,"Denton, Texas",,,,,,,,,United States,US,Denton,Texas,Denton County,"Denton, Texas, United States",-97.13307,33.21484,0,0,0,0,https://twitter.com/twitter/status/1591218785176125440
1591218767031603201,Fri Nov 11 23:58:12 +0000 2022,@Logically_JC Ya the democrats with guns commit most mass shootings,Reply Tweet,,['@Logically_JC'],1553782875647987712,"Denver, CO",,,,,,,,,United States,US,Denver,Colorado,Denver County,"Denver, Colorado, United States",-104.9847,39.73915,0,0,0,0,https://twitter.com/twitter/status/1591218767031603201
